,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
1,2,79,12,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",65570,5359200
2,3,78,4,"Бишкек, 6 м-н",78000,6375135
3,2,34.5,1,"Бишкек, Кара-Жыгач ж/м",29600,2419282
4,2,80,8,"Бишкек, Ак Эмир рынок, Московская/Шопокова, 38",76000,6211670
5,1,52,10,"Бишкек, Ак Эмир рынок, Московская/Шопокова, 38",45000,3677963
6,2,57.5,8,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",49500,4045759
7,4,164,5,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",300120,24529558
8,4,142,9,"Бишкек, VEFA, Горького 128",123000,10053098
9,2,58,2,"Бишкек, Средний Джал м-н, мкр Джал-23 18/2",44500,3637096
0,3,120,6,"Бишкек, КНУ, К. Акиева/Жумабека",79200,6473214
1,1,39,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",51000,4168358
2,1,58,8,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",52800,4315476
3,3,64,2,"Бишкек, 6 м-н",72000,5884740
4,2,68,9,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",103000,8418448
5,4,146,4,"Бишкек, Магистраль, пр. Ч. Айтматова",119000,9726168
6,2,50,5,"Бишкек, Восток-5 м-н, чуй",50000,4086625
7,1,57,11,"Бишкек, Военторг, Исанова/Токтогула",55000,4495288
8,2,68,7,"Бишкек, Тунгуч м-н, мкр.Тунгуч, Анкара",59500,4863084
9,3,97,12,"Бишкек, Дворец спорта, Абдумомунова 244",74000,6048205
0,1,41,8,"Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",27500,2247644
1,3,138,3,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",128340,10489549
2,4,180,5,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",144000,11769480
3,4,146,5,"Бишкек, Магистраль, пр. Ч. Айтматова",119000,9726168
4,2,59,9,"Бишкек, Асанбай м-н, Куттубаева/Южн. Магистраль",43660,3568441
5,3,71,5,"Бишкек, Московская - Уметалиева",59800,4887604
6,2,85,10,"Бишкек, Военторг, Исанова/Токтогула",75000,6129938
7,3,96,9,"Бишкек, Дворец спорта, Абдумомунова 244",78800,6440521
8,2,96,12,"Бишкек, Дворец спорта, Абдумомунова 244",74000,6048205
9,3,72,10,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",59500,4863084
0,3,76,8,"Бишкек, Бишкек-Парк, Токтогула/Исанова",92000,7519390
1,2,73,3,"Бишкек, Старый аэропорт, пр. Чингиза Айтматова 96/1",96000,7846320
2,3,120,6,"Бишкек, КНУ, К. Акиева/Жумабека",79200,6473214
3,2,80,10,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",76000,6211670
4,2,46,3,"Бишкек, Таш Рабат, Горький",43500,3555364
